driverId,constructorId,gridPosition,finalPosition,q1,q2,q3,constructorPosition
2,2,9,6,105000.0,104000.0,105000.0,3
2,2,5,6,95000.0,94000.0,96000.0,2
2,2,5,2,81000.0,79000.0,81000.0,2
2,2,10,5,95000.0,96000.0,99000.0,3
2,2,3,5,105000.0,104000.0,106000.0,7
2,2,9,7,81000.0,80000.0,81000.0,5
2,2,6,6,73000.0,72000.0,73000.0,2
2,2,8,4,87000.0,86000.0,87000.0,5
2,4,6,3,97000.0,96000.0,96000.0,4
2,2,2,3,80000.0,80000.0,80000.0,2
2,2,6,4,88000.0,87000.0,88000.0,2
2,2,6,5,106000.0,105000.0,107000.0,2
2,2,8,7,96000.0,96000.0,98000.0,2
2,2,4,4,83000.0,82000.0,83000.0,2
2,2,9,6,80000.0,80000.0,80000.0,2
2,2,4,6,91000.0,91000.0,91000.0,2
2,4,9,7,87000.0,86000.0,86000.0,4
2,2,8,5,100000.0,100000.0,102000.0,6
2,2,5,4,93000.0,92000.0,93000.0,2
2,2,3,2,77000.0,75000.0,76000.0,2
2,2,5,4,95000.0,95000.0,96000.0,2
2,2,7,5,75000.0,75000.0,75000.0,2
2,2,4,6,91000.0,91000.0,92000.0,8
2,2,8,7,106000.0,105000.0,106000.0,5
2,2,9,8,91000.0,90000.0,91000.0,5
2,2,8,9,98000.0,97000.0,100000.0,3
2,2,5,2,107000.0,106000.0,108000.0,3
2,2,3,4,86000.0,85000.0,86000.0,2
2,2,9,5,96000.0,95000.0,97000.0,3
2,2,3,8,81000.0,81000.0,81000.0,5
3,3,7,3,86000.0,86000.0,88000.0,2
3,3,8,8,92000.0,92000.0,94000.0,4
3,131,7,12,86000.0,85000.0,85000.0,8
3,3,5,14,95000.0,95000.0,98000.0,8
3,3,5,10,77000.0,77000.0,78000.0,6
3,131,4,5,83000.0,88000.0,86000.0,3
3,131,2,1,91000.0,91000.0,90000.0,2
3,131,1,9,93000.0,92000.0,92000.0,4
3,131,4,4,121000.0,108000.0,122000.0,2
3,131,7,5,83000.0,83000.0,83000.0,4
3,131,7,5,108000.0,106000.0,106000.0,4
3,131,6,8,92000.0,91000.0,91000.0,3
3,131,6,6,84000.0,84000.0,84000.0,3
3,131,2,4,105000.0,103000.0,102000.0,3
3,131,1,1,96000.0,95000.0,95000.0,5
3,131,5,5,94000.0,93000.0,92000.0,5
3,131,5,6,125000.0,123000.0,110000.0,4
3,131,7,13,97000.0,96000.0,96000.0,9
3,131,6,7,83000.0,82000.0,83000.0,5
3,131,2,2,75000.0,75000.0,74000.0,5
3,3,9,8,80000.0,80000.0,82000.0,8
3,3,6,6,75000.0,74000.0,75000.0,7
3,3,9,5,87000.0,87000.0,89000.0,6
3,3,3,11,107000.0,106000.0,108000.0,6
3,3,9,9,93000.0,93000.0,95000.0,8
3,3,10,8,105000.0,105000.0,107000.0,6
3,131,6,6,99000.0,98000.0,98000.0,5
3,131,7,7,99000.0,98000.0,98000.0,5
3,131,9,6,94000.0,92000.0,92000.0,4
3,131,6,11,74000.0,73000.0,73000.0,5
3,131,6,4,106000.0,105000.0,105000.0,1
3,131,1,2,93000.0,92000.0,92000.0,1
3,3,4,8,95000.0,94000.0,95000.0,5
3,3,5,6,85000.0,85000.0,86000.0,4
3,131,1,1,80000.0,80000.0,79000.0,1
3,131,1,1,71000.0,72000.0,71000.0,1
3,131,2,1,86000.0,84000.0,84000.0,1
3,131,2,1,91000.0,90000.0,89000.0,1
3,131,1,1,97000.0,96000.0,95000.0,1
3,131,9,4,100000.0,100000.0,100000.0,4
3,131,6,4,97000.0,96000.0,112000.0,4
3,131,1,6,81000.0,81000.0,80000.0,4
3,131,1,1,84000.0,76000.0,73000.0,4
3,131,2,5,73000.0,73000.0,72000.0,1
3,131,1,1,103000.0,102000.0,102000.0,1
3,131,1,2,98000.0,96000.0,96000.0,1
3,131,2,2,99000.0,98000.0,98000.0,1
3,131,1,1,101000.0,100000.0,100000.0,1
3,131,1,1,70000.0,70000.0,70000.0,1
3,131,2,2,88000.0,87000.0,86000.0,1
3,131,1,1,96000.0,95000.0,95000.0,1
3,131,2,7,74000.0,74000.0,73000.0,1
3,131,5,6,75000.0,74000.0,74000.0,5
3,131,2,2,71000.0,71000.0,70000.0,1
3,3,9,9,76000.0,75000.0,76000.0,4
3,3,7,10,77000.0,76000.0,76000.0,4
3,3,10,10,93000.0,92000.0,94000.0,5
3,131,6,4,66000.0,66000.0,68000.0,1
3,131,2,3,90000.0,89000.0,89000.0,1
3,131,5,5,115000.0,114000.0,115000.0,3
3,131,6,5,84000.0,84000.0,84000.0,3
3,131,1,1,77000.0,77000.0,76000.0,1
3,131,2,2,85000.0,84000.0,84000.0,1
3,3,9,9,100000.0,100000.0,102000.0,7
3,131,4,7,98000.0,98000.0,97000.0,3
3,131,5,3,91000.0,91000.0,90000.0,4
3,131,2,2,85000.0,85000.0,84000.0,2
3,131,3,3,101000.0,100000.0,100000.0,2
3,131,3,2,117000.0,119000.0,120000.0,1
3,131,10,6,76000.0,76000.0,76000.0,4
3,131,3,1,92000.0,102000.0,104000.0,2
3,131,6,7,84000.0,84000.0,84000.0,5
3,131,3,5,87000.0,85000.0,85000.0,5
3,131,2,1,82000.0,81000.0,81000.0,1
3,131,2,3,94000.0,93000.0,93000.0,1
3,131,1,2,93000.0,82000.0,79000.0,1
3,131,1,4,75000.0,74000.0,74000.0,1
3,131,1,1,108000.0,106000.0,106000.0,1
3,131,1,1,105000.0,103000.0,102000.0,1
3,131,2,2,96000.0,96000.0,95000.0,1
3,131,2,2,79000.0,79000.0,78000.0,1
3,3,8,7,88000.0,87000.0,88000.0,4
3,3,8,6,83000.0,82000.0,84000.0,4
